hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,is_corporate_booking,customer_group,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,total_nights,revenue,arrival_date,guest_count,room_changed
Resort Hotel,0,7,2015,July,27,1,0,1,1,0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,No Agent,NULL,0,Non-Corporate,0,Transient,75,0,0,Check-Out,"Thursday, July 2, 2015",1,75,"Wednesday, July 1, 2015",1,Changed
Resort Hotel,0,13,2015,July,27,1,0,1,1,0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304,NULL,0,Non-Corporate,0,Transient,75,0,0,Check-Out,"Thursday, July 2, 2015",1,75,"Wednesday, July 1, 2015",1,No change
Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,98,0,1,Check-Out,"Friday, July 3, 2015",2,196,"Wednesday, July 1, 2015",2,No change
Resort Hotel,0,0,2015,July,27,1,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,No Agent,NULL,0,Non-Corporate,0,Transient,107,0,0,Check-Out,"Friday, July 3, 2015",2,214,"Wednesday, July 1, 2015",2,No change
Resort Hotel,0,9,2015,July,27,1,0,2,2,0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303,NULL,0,Non-Corporate,0,Transient,103,0,1,Check-Out,"Friday, July 3, 2015",2,206,"Wednesday, July 1, 2015",2,No change
Resort Hotel,1,85,2015,July,27,1,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,82,0,1,Canceled,"Wednesday, May 6, 2015",3,246,"Wednesday, July 1, 2015",2,No change
Resort Hotel,1,75,2015,July,27,1,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,NULL,0,Non-Corporate,0,Transient,105.5,0,0,Canceled,"Wednesday, April 22, 2015",3,316.5,"Wednesday, July 1, 2015",2,No change
Resort Hotel,1,23,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,123,0,0,Canceled,"Tuesday, June 23, 2015",4,492,"Wednesday, July 1, 2015",2,No change
Resort Hotel,0,35,2015,July,27,1,0,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,145,0,0,Check-Out,"Sunday, July 5, 2015",4,580,"Wednesday, July 1, 2015",2,No change
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,NULL,0,Non-Corporate,0,Transient,97,0,3,Check-Out,"Sunday, July 5, 2015",4,388,"Wednesday, July 1, 2015",2,Changed
